Well,Protein Name,Gene Symbol,Cq_mr108_pos,Cq_mr111_pos,Cq_mr113_pos,Cq_mr89_pos,Cq_mr97_pos,Cq_mr98_pos,Cq_mr108_neg,Cq_mr111_neg,Cq_mr113_neg,Cq_mr89_neg,Cq_mr97_neg,Cq_mr98_neg,Class,TWS opdeling,Norm_mr108_pos,Norm_mr111_pos,Norm_mr113_pos,Norm_mr89_pos,Norm_mr97_pos,Norm_mr98_pos,Norm_mr108_neg,Norm_mr111_neg,Norm_mr113_neg,Norm_mr89_neg,Norm_mr97_neg,Norm_mr98_neg,log2_Norm_mr108_pos,log2_Norm_mr111_pos,log2_Norm_mr113_pos,log2_Norm_mr89_pos,log2_Norm_mr97_pos,log2_Norm_mr98_pos,log2_Norm_mr108_neg,log2_Norm_mr111_neg,log2_Norm_mr113_neg,log2_Norm_mr89_neg,log2_Norm_mr97_neg,log2_Norm_mr98_neg,pvalues,-log10(pvalue),log2_FC
B20,Chemokine (C-C motif) receptor 4,Ccr4,34.72,37.13,34.19,38.74,39.07,40,35.8,34.82,34.59,37.59,40,40,A,Chemokine receptors,1.214194884,0.228457863,1.753211443,0.074842419,0.059539875,0.03125,0.574349177,1.132883885,1.328685814,0.166085727,0.03125,0.03125,0.28,-2.13,0.81,-3.74,-4.07,-5,-0.8,0.18,0.41,-2.59,-5,-5,0.903242087,0.044195834,-0.175
B21,Chemokine (C-C motif) receptor 5,Ccr5,40,40,31.83,32.09,31.79,40,39.17,36.83,37.35,40,23.67,25.63,A,Chemokine receptors,0.03125,0.03125,9.000467878,7.516181994,9.253505471,0.03125,0.055552668,0.281264621,0.196146024,0.03125,2574.363391,661.6846493,-5,-5,3.17,2.91,3.21,-5,-4.17,-1.83,-2.35,-5,11.33,9.37,0.54209708,0.265922932,-2.176666667
B22,Chemokine (C-C motif) receptor 6,Ccr6,34.74,37.07,33.91,40,40,40,36.64,34.84,33.74,40,37.14,37.31,A,Chemokine receptors,1.197478705,0.2381595,2.128740365,0.03125,0.03125,0.03125,0.320856474,1.117287138,2.394957409,0.03125,0.226879789,0.20166044,0.26,-2.07,1.09,-5,-5,-5,-1.64,0.16,1.26,-5,-2.14,-2.31,0.502353999,0.298990136,-1.008333333
B23,Chemokine (C-C motif) receptor 7,Ccr7,40,40,40,29.61,26.94,40,40,40,40,40,40,40,A,Chemokine receptors,0.03125,0.03125,0.03125,41.93258892,266.8712348,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,-5,-5,-5,5.39,8.06,-5,-5,-5,-5,-5,-5,-5,0.148420318,0.828506642,3.908333333
B24,Chemokine (C-C motif) receptor 8,Ccr8,40,40,40,40,40,40,40,38.87,40,40,40,40,A,Chemokine receptors,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.03125,0.068393356,0.03125,0.03125,0.03125,0.03125,-5,-5,-5,-5,-5,-5,-5,-3.87,-5,-5,-5,-5,0.340893132,0.467381748,-0.188333333
C01,Chemokine (C-C motif) receptor 9,Ccr9,35.83,40,35.85,40,40,31.26,35.02,35.56,34.96,40,40,30.08,A,Chemokine receptors,0.562529242,0.03125,0.554784736,0.03125,0.03125,13.36140671,0.986232704,0.678302164,1.028113827,0.03125,0.03125,30.2738447,-0.83,-5,-0.85,-5,-5,3.74,-0.02,-0.56,0.04,-5,-5,4.92,0.573346102,0.241583136,-1.22
C02,Chemokine (C-C motif) receptor-like 2,Ccrl2,27.9,38.83,36.45,29.12,32.97,40,28.1,29.63,35.54,40,29.71,25.79,A,Chemokine receptors,137.1870032,0.070316155,0.366021424,58.89200964,4.084048503,0.03125,119.4282229,41.35529058,0.687770909,0.03125,39.12448889,592.2243502,7.1,-3.83,-1.45,5.88,2.03,-5,6.9,5.37,-0.54,-5,5.29,9.21,0.377970449,0.422542154,-2.75
C03,CD97 antigen,Adgre5,28.49,34.72,30.32,28.19,26.01,24.71,26.69,28.01,29,34.88,27.34,26.44,B,Family B Adhesion Receptors,91.13921252,1.214194884,25.63423608,112.2055323,508.4633577,1251.983644,317.3651712,127.1158394,64,1.086734863,202.2505758,377.4129196,6.51,0.28,4.68,6.81,8.99,10.29,8.31,6.99,6,0.12,7.66,8.56,0.99463145,0.002337813,-0.013333333
C04,"Cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)",Celsr1,30.1,37.84,35.86,29.32,27.66,27.08,27.54,29.08,32.89,40,31.08,26.13,B,Family B Adhesion Receptors,29.85705573,0.139660892,0.550952558,51.26847217,162.016844,242.1907576,176.0693527,60.54768939,4.316912946,0.03125,15.13692235,467.8817025,4.9,-2.84,-0.86,5.68,7.34,7.92,7.46,5.92,2.11,-5,3.92,8.87,0.945918187,0.024146425,-0.19
C05,"Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)",Celsr2,25.95,29.87,27.8,25.66,25.35,24.59,26.87,26.17,30.01,28.93,24.71,27.34,B,Family B Adhesion Receptors,530.055641,35.01739844,147.0333894,648.0673761,803.4141162,1360.574274,280.1391875,455.0874528,31.77895985,67.18186775,1251.983644,202.2505758,9.05,5.13,7.2,9.34,9.65,10.41,8.13,8.83,4.99,6.07,10.29,7.66,0.48795323,0.311621803,0.801666667
C06,"Cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)",Celsr3,25.6,34.15,27.02,26.19,25.04,24.71,29.5,28.75,28.23,29.48,26.03,25.66,B,Family B Adhesion Receptors,675.5880503,1.802500925,252.4755724,448.8221293,995.9986662,1251.983644,45.254834,76.10925536,109.1372661,45.88656794,501.4631924,648.0673761,9.4,0.85,7.98,8.81,9.96,10.29,5.5,6.25,6.77,5.52,8.97,9.34,0.618773611,0.208468216,0.823333333
C07,"Cholinergic receptor, muscarinic 1, CNS",Chrm1,28.45,33.32,30.82,28.67,27.58,31.17,28.86,29.79,29.74,34.45,24.04,28.87,A,Neurotransmitter receptors,93.70148454,3.20427951,18.12614216,80.44885597,171.254727,14.2214829,70.52192742,37.01402188,38.31931855,1.464085696,1991.997332,70.03479688,6.55,1.68,4.18,6.33,7.42,3.83,6.14,5.21,5.26,0.55,10.96,6.13,0.669252612,0.174409925,-0.71
C08,"Cholinergic receptor, muscarinic 2, cardiac",Chrm2,28.96,40,24.87,27.17,25.01,27.91,28.24,27.43,29,27.18,25.98,27.44,A,Neurotransmitter receptors,65.79928491,0.03125,1120.55675,227.5437264,1016.926715,136.2393834,108.3834,190.019017,64,225.9719671,519.1472537,188.7064598,6.04,-5,10.13,7.83,9.99,7.09,6.76,7.57,6,7.82,9.02,7.56,0.55094438,0.258892242,-1.441666667
C09,"Cholinergic receptor, muscarinic 3, cardiac",Chrm3,27.7,36.67,25.6,25.44,24.78,27.25,25.27,25.59,24.9,25.47,24.6,29.23,A,Neurotransmitter receptors,157.5864849,0.314253344,675.5880503,754.8258393,1192.687193,215.2694823,849.2232149,680.2871368,1097.496026,739.2917481,1351.176101,54.56863307,7.3,-1.67,9.4,9.56,10.22,7.75,9.73,9.41,10.1,9.53,10.4,5.77,0.312490673,0.50516294,-2.063333333
C10,"Cholinergic receptor, muscarinic 4",Chrm4,30.82,34.46,34.89,26.47,28.53,28.46,30.86,32.13,34.68,35.15,32.7,39.01,A,Neurotransmitter receptors,18.12614216,1.453972517,1.079228237,369.6458741,88.64700596,93.05424111,17.63048185,7.310651602,1.248330549,0.901250463,4.924577653,0.062068281,4.18,0.54,0.11,8.53,6.47,6.54,4.14,2.87,0.32,-0.15,2.3,-4.01,0.087059429,1.060184185,3.483333333
C11,"Cholinergic receptor, muscarinic 5",Chrm5,23.66,28.58,23.7,22.28,23.81,24.71,27.5,27.99,27.46,40,30.58,30.48,A,Neurotransmitter receptors,2592.269504,85.62736351,2521.383759,6746.857613,2336.28409,1251.983644,181.019336,128.8903104,186.1084822,0.03125,21.40684088,22.94328397,11.34,6.42,11.3,12.72,11.19,10.29,7.5,7.01,7.54,-5,4.42,4.52,0.015953442,1.797145605,6.211666667
